Bank_id,Year,Bank_name,Sector
65,2018,KARUR VYSYA BANK,Private
65,2019,KARUR VYSYA BANK,Private
65,2020,KARUR VYSYA BANK,Private
66,2005,KBC BANK NV,Foreign
66,2006,KBC BANK NV,Foreign
66,2007,KBC BANK NV,Foreign
66,2008,KBC BANK NV,Foreign
66,2009,KBC BANK NV,Foreign
66,2010,KBC BANK NV,Foreign
66,2011,KBC BANK NV,Foreign
66,2012,KBC BANK NV,Foreign
66,2013,KBC BANK NV,Foreign
66,2014,KBC BANK NV,Foreign
66,2015,KBC BANK NV,Foreign
66,2016,KBC BANK NV,Foreign
67,2016,KEB HANA BANK,Foreign
67,2017,KEB HANA BANK,Foreign
67,2018,KEB HANA BANK,Foreign
67,2019,KEB HANA BANK,Foreign
67,2020,KEB HANA BANK,Foreign
68,2020,KOOKMIN BANK,Foreign
69,2005,KOTAK MAHINDRA BANK LTD,Private
69,2006,KOTAK MAHINDRA BANK LTD,Private
69,2007,KOTAK MAHINDRA BANK LTD,Private
69,2008,KOTAK MAHINDRA BANK LTD,Private
69,2009,KOTAK MAHINDRA BANK LTD,Private
69,2010,KOTAK MAHINDRA BANK LTD,Private
69,2011,KOTAK MAHINDRA BANK LTD,Private
69,2012,KOTAK MAHINDRA BANK LTD,Private
69,2013,KOTAK MAHINDRA BANK LTD,Private
69,2014,KOTAK MAHINDRA BANK LTD,Private
69,2015,KOTAK MAHINDRA BANK LTD,Private
69,2016,KOTAK MAHINDRA BANK LTD,Private
69,2017,KOTAK MAHINDRA BANK LTD,Private
69,2018,KOTAK MAHINDRA BANK LTD,Private
69,2019,KOTAK MAHINDRA BANK LTD,Private
69,2020,KOTAK MAHINDRA BANK LTD,Private
70,2005,KRUNG THAI BANK PUBLIC COMPANY LTD.,Foreign
70,2006,KRUNG THAI BANK PUBLIC COMPANY LTD.,Foreign
70,2007,KRUNG THAI BANK PUBLIC COMPANY LTD.,Foreign
70,2008,KRUNG THAI BANK PUBLIC COMPANY LTD.,Foreign
70,2009,KRUNG THAI BANK PUBLIC COMPANY LTD.,Foreign
70,2010,KRUNG THAI BANK PUBLIC COMPANY LTD.,Foreign
70,2011,KRUNG THAI BANK PUBLIC COMPANY LTD.,Foreign
70,2012,KRUNG THAI BANK PUBLIC COMPANY LTD.,Foreign
70,2013,KRUNG THAI BANK PUBLIC COMPANY LTD.,Foreign
70,2014,KRUNG THAI BANK PUBLIC COMPANY LTD.,Foreign
70,2015,KRUNG THAI BANK PUBLIC COMPANY LTD.,Foreign
70,2016,KRUNG THAI BANK PUBLIC COMPANY LTD.,Foreign
70,2017,KRUNG THAI BANK PUBLIC COMPANY LTD.,Foreign
